loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,7751.155,-69.7053,8.59375,8.878294944763184,2023-12-14 18:34:43.988163,15327.598,13.8671875
2,11,11528.111,-69.7053,12.109375,0.33299970626831055,2023-12-14 18:34:44.917102,19250.03,16.699219
3,21,14833.465,-69.7053,15.234375,0.33678412437438965,2023-12-14 18:34:45.846649,22036.816,17.871094
4,31,18906.408,-67.10809,18.652344,0.35776782035827637,2023-12-14 18:34:46.797712,23753.99,18.554688
5,41,22139.31,-67.10809,21.289062,0.35466456413269043,2023-12-14 18:34:47.744850,25425.008,19.53125
6,51,24346.986,-67.10809,23.339844,0.340160608291626,2023-12-14 18:34:48.679219,26856.367,20.3125
7,61,26304.53,-67.10312,25.195312,0.33863258361816406,2023-12-14 18:34:49.614328,27795.918,20.898438
8,71,28373.664,-67.10312,26.855469,0.36150646209716797,2023-12-14 18:34:50.566019,28768.844,21.679688
9,81,30210.766,-67.10312,28.222656,0.3421318531036377,2023-12-14 18:34:51.502477,29342.477,21.679688
10,91,31896.0,-66.20001,29.589844,0.35252809524536133,2023-12-14 18:34:52.449931,29871.176,21.972656
11,101,34193.176,-66.20001,31.445312,0.33868408203125,2023-12-14 18:34:53.382810,30414.615,22.363281
12,111,35828.844,-66.20001,32.714844,0.35675764083862305,2023-12-14 18:34:54.338301,31076.695,22.851562
13,121,38406.684,-66.20001,34.570312,0.34318041801452637,2023-12-14 18:34:55.276060,31590.793,23.144531
14,131,40407.37,-66.20001,36.132812,0.33924102783203125,2023-12-14 18:34:56.207303,32281.994,23.535156
15,141,41583.5,-66.20001,36.914062,0.36321449279785156,2023-12-14 18:34:57.161352,32720.014,23.828125
16,151,43304.004,-66.18059,38.183594,0.34146547317504883,2023-12-14 18:34:58.091624,33377.098,24.023438
17,161,44647.69,-66.18059,39.160156,0.3411245346069336,2023-12-14 18:34:59.022947,33804.02,24.023438
18,171,45601.043,-66.18059,39.941406,0.3402414321899414,2023-12-14 18:34:59.969902,34073.082,24.21875
19,181,47019.312,-66.18059,40.91797,0.34038543701171875,2023-12-14 18:35:00.901516,34373.695,24.414062
20,191,47637.797,-66.18059,41.503906,0.34112024307250977,2023-12-14 18:35:01.833712,34800.38,24.804688
21,201,48611.625,-66.18059,42.382812,0.34165191650390625,2023-12-14 18:35:02.765531,35380.066,25.292969
22,211,49460.836,-60.620144,43.066406,0.3409440517425537,2023-12-14 18:35:03.698037,36124.645,25.878906
23,221,50574.89,-60.620144,43.945312,0.3581521511077881,2023-12-14 18:35:04.687709,36484.277,25.976562
24,231,52321.715,-60.620144,45.214844,0.3421180248260498,2023-12-14 18:35:05.693060,36919.035,25.976562
