loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,371701.3,1018.8308,36.132812,49.31709814071655,2023-12-08 03:35:24.444804,91478.31,8.105469
2,11,550538.1,1018.8308,52.83203,18.692492485046387,2023-12-08 03:35:43.745805,107293.65,9.375
3,21,638268.1,1018.8308,60.839844,18.481173276901245,2023-12-08 03:36:02.908103,114606.266,9.863281
4,31,701841.7,1018.8308,66.11328,18.759315013885498,2023-12-08 03:36:22.273796,120276.78,10.15625
5,41,756894.4,1018.8308,70.50781,18.50277614593506,2023-12-08 03:36:41.383888,124523.55,10.449219
6,51,786408.6,1018.8308,72.75391,18.575092554092407,2023-12-08 03:37:00.563192,127506.55,10.546875
7,61,815480.7,1018.8308,74.90234,18.409409761428833,2023-12-08 03:37:19.568677,132211.56,10.839844
8,71,844607.3,1021.1974,76.85547,18.46317768096924,2023-12-08 03:37:38.634992,136196.6,11.035156
9,81,868803.25,1021.1974,78.515625,17.833608865737915,2023-12-08 03:37:57.067817,138950.11,11.230469
10,91,886434.5,1021.1974,79.58984,17.623330116271973,2023-12-08 03:38:15.279332,141525.47,11.425781
11,101,899677.2,1021.1974,80.27344,17.645756721496582,2023-12-08 03:38:33.505642,143079.31,11.5234375
12,111,912395.1,1021.1974,80.95703,17.616018295288086,2023-12-08 03:38:51.697026,144614.62,11.5234375
13,121,924377.6,1021.1974,81.54297,17.639790773391724,2023-12-08 03:39:09.911929,146377.19,11.5234375
14,131,940362.75,1021.1974,82.51953,17.843214750289917,2023-12-08 03:39:28.324050,148243.4,11.5234375
15,141,954033.9,1021.1974,83.10547,17.800209045410156,2023-12-08 03:39:46.700180,150147.31,11.621094
16,151,964664.3,1021.1974,83.59375,17.683351278305054,2023-12-08 03:40:04.956406,150928.05,11.621094
17,161,979565.0,1027.7518,84.17969,17.569677352905273,2023-12-08 03:40:23.099619,153843.66,11.71875
18,171,995071.4,1027.7518,84.86328,17.606707334518433,2023-12-08 03:40:41.276856,154760.1,11.71875
19,181,1005916.0,1027.7518,85.25391,17.567636728286743,2023-12-08 03:40:59.416627,155982.88,11.71875
20,191,1019755.5,1027.7518,85.83984,17.62175989151001,2023-12-08 03:41:17.607637,157638.34,11.816406
21,201,1031710.1,1027.7518,86.23047,17.605323791503906,2023-12-08 03:41:35.785919,158243.92,11.816406
