loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,8837.437,-70.176544,10.253906,8.780648946762085,2023-12-14 17:52:47.459275,9873.575,9.082031
2,11,13711.124,-70.176544,15.4296875,0.32938051223754883,2023-12-14 17:52:48.375801,11584.624,10.058594
3,21,18738.715,-56.520966,19.726562,0.33319568634033203,2023-12-14 17:52:49.308564,13117.523,10.839844
4,31,23377.52,-46.185516,23.632812,0.34493398666381836,2023-12-14 17:52:50.248868,13762.013,10.839844
5,41,26426.385,-46.185516,26.269531,0.32965707778930664,2023-12-14 17:52:51.170361,14101.497,10.9375
6,51,29469.99,-46.185516,28.90625,0.34613680839538574,2023-12-14 17:52:52.136383,14356.444,11.035156
7,61,32159.936,-46.185516,31.152344,0.33211255073547363,2023-12-14 17:52:53.065026,14604.164,11.035156
8,71,34282.445,-46.185516,32.8125,0.3357737064361572,2023-12-14 17:52:53.991190,14818.117,11.1328125
9,81,36288.547,-46.185516,34.375,0.3335695266723633,2023-12-14 17:52:54.916360,14911.433,11.1328125
10,91,38139.234,-46.185516,35.9375,0.3360099792480469,2023-12-14 17:52:55.838791,15143.864,11.230469
11,101,40982.984,-46.185516,38.085938,0.3349790573120117,2023-12-14 17:52:56.770203,15277.208,11.328125
12,111,43587.35,-46.185516,40.234375,0.33611297607421875,2023-12-14 17:52:57.699722,15554.121,11.425781
13,121,45642.07,-45.268906,41.69922,0.3364253044128418,2023-12-14 17:52:58.634265,15779.589,11.5234375
14,131,47132.844,-45.268906,42.96875,0.33712244033813477,2023-12-14 17:52:59.561932,16092.016,11.816406
15,141,48455.043,-45.268906,43.847656,0.33966732025146484,2023-12-14 17:53:00.497351,16323.515,11.9140625
16,151,50255.55,-45.268906,45.3125,0.33658814430236816,2023-12-14 17:53:01.426867,16416.62,12.011719
17,161,51583.527,-45.268906,46.484375,0.33921265602111816,2023-12-14 17:53:02.363728,16668.248,12.109375
18,171,53010.883,-45.268906,47.36328,0.33464550971984863,2023-12-14 17:53:03.294190,16944.068,12.3046875
19,181,53719.375,-41.58396,47.851562,0.37604284286499023,2023-12-14 17:53:04.268172,17049.676,12.402344
20,191,55143.145,-41.58396,48.92578,0.3354060649871826,2023-12-14 17:53:05.205381,17363.69,12.597656
21,201,56671.19,-41.58396,50.195312,0.3488199710845947,2023-12-14 17:53:06.152880,17472.002,12.597656
22,211,58348.914,-41.58396,51.367188,0.33580875396728516,2023-12-14 17:53:07.087429,17542.215,12.6953125
23,221,59723.01,-41.58396,52.34375,0.33855414390563965,2023-12-14 17:53:08.019214,17749.816,12.792969
24,231,61104.133,-41.58396,53.41797,0.33857154846191406,2023-12-14 17:53:08.957021,17893.58,12.890625
25,241,62176.85,-40.795692,54.19922,0.3373754024505615,2023-12-14 17:53:09.887349,17942.316,12.988281
26,251,62932.332,-40.795692,54.6875,0.33782267570495605,2023-12-14 17:53:10.813155,18061.469,12.988281
27,261,63526.355,-40.795692,55.273438,0.3389291763305664,2023-12-14 17:53:11.745099,18284.75,13.0859375
