loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,-69593.91,-155.81296,10.3515625,15.847544193267822,2023-12-15 04:05:10.156202,-45506.17,8.203125
2,11,-89773.91,-155.54922,13.671875,5.170225381851196,2023-12-15 04:05:15.977927,-43777.32,8.691406
3,21,-100598.484,-155.54922,15.4296875,5.317414999008179,2023-12-15 04:05:21.953607,-43773.92,9.082031
4,31,-116658.94,-155.54922,17.96875,5.473561763763428,2023-12-15 04:05:28.139025,-42331.85,9.375
5,41,-129915.62,-152.06386,19.921875,5.244671106338501,2023-12-15 04:05:34.028945,-45862.684,10.15625
6,51,-134882.78,-148.42123,20.800781,5.435758590698242,2023-12-15 04:05:40.126993,-46235.98,10.546875
7,61,-143436.12,-148.42123,22.070312,5.440459489822388,2023-12-15 04:05:46.278587,-47036.38,10.9375
8,71,-146479.14,-148.42123,22.558594,5.509129524230957,2023-12-15 04:05:52.475525,-47839.617,11.425781
9,81,-147840.88,-148.42123,22.851562,5.451450824737549,2023-12-15 04:05:58.715214,-49008.23,11.71875
10,91,-148504.78,-148.42123,23.046875,5.54383659362793,2023-12-15 04:06:04.945758,-48615.812,11.816406
11,101,-152026.16,-148.42123,23.535156,5.241962194442749,2023-12-15 04:06:10.887191,-47809.625,11.9140625
12,111,-154305.9,-148.42123,23.925781,5.497202396392822,2023-12-15 04:06:17.092878,-47488.85,12.011719
13,121,-154722.66,-147.44293,24.023438,5.421840190887451,2023-12-15 04:06:23.383599,-46341.785,12.011719
14,131,-158103.33,-147.44293,24.609375,5.267541408538818,2023-12-15 04:06:29.401414,-45515.906,12.011719
15,141,-159930.86,-147.44293,24.902344,5.386425733566284,2023-12-15 04:06:35.516543,-44783.215,12.109375
16,151,-161597.84,-147.44293,25.292969,5.468789100646973,2023-12-15 04:06:41.697406,-44815.082,12.207031
17,161,-162581.69,-146.33609,25.488281,5.300027847290039,2023-12-15 04:06:47.731044,-44474.68,12.3046875
18,171,-164857.4,-146.11072,25.878906,5.578054904937744,2023-12-15 04:06:54.061894,-43944.81,12.3046875
19,181,-166932.02,-144.73798,26.269531,5.446878910064697,2023-12-15 04:07:00.150890,-42896.742,12.3046875
20,191,-168586.3,-144.73798,26.5625,5.510455846786499,2023-12-15 04:07:06.338631,-43308.582,12.5
21,201,-168546.08,-139.68713,26.660156,5.5182740688323975,2023-12-15 04:07:12.539271,-43233.742,12.597656
22,211,-169030.98,-139.68713,26.757812,5.398990869522095,2023-12-15 04:07:18.562349,-43395.867,12.6953125
23,221,-172632.69,-139.68713,27.34375,5.273423194885254,2023-12-15 04:07:24.569568,-43024.95,12.6953125
24,231,-172316.11,-139.68713,27.441406,5.389343976974487,2023-12-15 04:07:30.605964,-43560.668,12.890625
25,241,-172725.25,-139.68713,27.636719,5.316934108734131,2023-12-15 04:07:36.625117,-43304.07,12.890625
26,251,-177737.94,-139.68713,28.417969,5.3640148639678955,2023-12-15 04:07:42.688012,-42898.824,12.890625
27,261,-178281.02,-139.68713,28.515625,5.1892476081848145,2023-12-15 04:07:48.522910,-43193.254,12.988281
28,271,-180450.86,-139.68713,28.808594,5.360185384750366,2023-12-15 04:07:54.513093,-43388.152,13.0859375
29,281,-181352.31,-132.88995,29.101562,5.477166652679443,2023-12-15 04:08:00.655284,-42813.11,13.0859375
30,291,-182850.94,-132.88995,29.296875,5.358194589614868,2023-12-15 04:08:06.726803,-43082.67,13.183594
31,301,-184238.95,-132.88995,29.492188,5.430159330368042,2023-12-15 04:08:12.859380,-43795.28,13.28125
32,311,-183942.25,-132.88995,29.492188,5.268448829650879,2023-12-15 04:08:18.779095,-44405.477,13.378906
33,321,-184337.53,-132.88995,29.6875,5.313010931015015,2023-12-15 04:08:24.782264,-44129.22,13.378906
34,331,-185615.12,-132.88995,29.882812,5.280638217926025,2023-12-15 04:08:30.762839,-44129.22,13.378906
35,341,-186342.25,-132.88995,30.078125,5.432267665863037,2023-12-15 04:08:36.932894,-43918.035,13.378906
36,351,-190068.53,-132.88995,30.664062,5.288095474243164,2023-12-15 04:08:42.945080,-44575.992,13.4765625
37,361,-191521.0,-132.88995,30.859375,5.2361626625061035,2023-12-15 04:08:48.991085,-44403.066,13.4765625
38,371,-192084.12,-132.88995,30.957031,5.4394659996032715,2023-12-15 04:08:55.077960,-44403.066,13.4765625
39,381,-192240.97,-132.88995,31.054688,5.393357038497925,2023-12-15 04:09:01.117605,-45012.633,13.574219
40,391,-192265.08,-132.88995,31.152344,5.359842777252197,2023-12-15 04:09:07.107902,-45012.633,13.574219
41,401,-191960.62,-132.88995,31.152344,5.422668218612671,2023-12-15 04:09:13.172086,-44791.43,13.574219
42,411,-193150.28,-132.88995,31.347656,5.339160442352295,2023-12-15 04:09:19.167220,-45015.746,13.671875
43,421,-193872.05,-132.88995,31.542969,5.351536273956299,2023-12-15 04:09:25.148123,-45007.887,13.671875
44,431,-194029.88,-132.88995,31.640625,5.4598376750946045,2023-12-15 04:09:31.330459,-44840.188,13.671875
45,441,-194414.75,-132.88995,31.835938,5.360118389129639,2023-12-15 04:09:37.318544,-45541.137,13.769531
46,451,-195043.39,-132.88995,32.03125,5.334577322006226,2023-12-15 04:09:43.337098,-45849.996,13.8671875
47,461,-195645.94,-132.88995,32.128906,5.4000020027160645,2023-12-15 04:09:49.385025,-46592.945,13.964844
48,471,-196930.75,-132.88995,32.32422,5.439793586730957,2023-12-15 04:09:55.458952,-46226.984,13.964844
49,481,-197239.31,-132.88995,32.421875,5.25709080696106,2023-12-15 04:10:01.366804,-46015.562,13.964844
50,491,-197673.25,-132.88995,32.51953,5.318031549453735,2023-12-15 04:10:07.367613,-45614.383,13.964844
51,501,-197827.16,-132.88995,32.617188,5.381631374359131,2023-12-15 04:10:13.400205,-45598.42,13.964844
