loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,76.949036,0.6038742,4.4921875,9.359161615371704,2023-12-07 21:44:45.288705,3.4179688,3.7109375
2,11,99.711624,0.6118189,5.7617188,1.3226027488708496,2023-12-07 21:44:46.940723,4.3945312,4.3945312
3,21,123.190125,0.61194956,7.1289062,1.348491907119751,2023-12-07 21:44:48.653662,4.8828125,5.5664062
4,31,138.44345,0.6141746,8.0078125,1.3415265083312988,2023-12-07 21:44:50.370877,5.46875,6.1523438
5,41,153.87726,0.6141746,8.886719,1.3090004920959473,2023-12-07 21:44:52.067494,5.5664062,7.03125
6,51,159.50032,0.6141746,9.1796875,1.3370873928070068,2023-12-07 21:44:53.730248,5.859375,6.9335938
7,61,164.67412,0.6157472,9.472656,1.3793444633483887,2023-12-07 21:44:55.421155,6.3476562,7.1289062
8,71,173.96463,0.6157472,9.9609375,1.4413180351257324,2023-12-07 21:44:57.193996,6.5429688,7.2265625
9,81,182.44687,0.6180483,10.449219,1.349104881286621,2023-12-07 21:44:58.967686,6.640625,7.421875
10,91,187.4072,0.6180483,10.7421875,1.350235939025879,2023-12-07 21:45:00.731731,6.5429688,8.105469
11,101,191.94592,0.6180483,11.035156,1.3257720470428467,2023-12-07 21:45:02.386952,6.8359375,8.105469
12,111,198.86409,0.6193051,11.425781,1.3538885116577148,2023-12-07 21:45:04.117420,6.9335938,8.7890625
13,121,204.75043,0.6193051,11.71875,1.342998743057251,2023-12-07 21:45:05.824642,7.03125,8.7890625
14,131,206.56998,0.6193051,11.816406,1.339526653289795,2023-12-07 21:45:07.549238,7.1289062,8.7890625
15,141,211.64252,0.6211227,12.109375,1.3562507629394531,2023-12-07 21:45:09.357859,7.3242188,9.082031
16,151,217.06792,0.6246139,12.402344,1.3113229274749756,2023-12-07 21:45:11.033100,7.6171875,9.667969
17,161,217.37042,0.6246139,12.402344,1.2724609375,2023-12-07 21:45:12.624158,7.7148438,9.765625
18,171,221.11848,0.62493265,12.597656,1.3406391143798828,2023-12-07 21:45:14.451720,7.9101562,9.863281
19,181,222.53252,0.62493265,12.6953125,1.3396477699279785,2023-12-07 21:45:16.113167,7.9101562,9.765625
20,191,222.58923,0.62536204,12.6953125,1.38675856590271,2023-12-07 21:45:17.823294,8.0078125,9.667969
21,201,227.68883,0.62536204,12.988281,1.4087729454040527,2023-12-07 21:45:19.613010,8.300781,9.667969
22,211,231.44826,0.62536204,13.183594,1.3147413730621338,2023-12-07 21:45:21.247756,8.300781,9.863281
23,221,237.33073,0.62536204,13.574219,1.299990177154541,2023-12-07 21:45:22.925685,8.59375,9.9609375
24,231,240.30624,0.62536204,13.769531,1.3219108581542969,2023-12-07 21:45:24.602202,8.59375,10.253906
25,241,240.42885,0.6266538,13.769531,1.3279142379760742,2023-12-07 21:45:26.241838,8.691406,9.9609375
26,251,242.34001,0.6266538,13.8671875,1.2992455959320068,2023-12-07 21:45:27.856178,8.691406,10.15625
27,261,242.44736,0.6266538,13.8671875,1.3602590560913086,2023-12-07 21:45:29.622711,8.7890625,10.3515625
28,271,244.07967,0.6266538,13.964844,1.2975518703460693,2023-12-07 21:45:31.264578,8.886719,10.546875
29,281,247.17613,0.6266538,14.160156,1.266540288925171,2023-12-07 21:45:32.928273,8.886719,10.546875
30,291,251.7122,0.6266538,14.453125,1.3562145233154297,2023-12-07 21:45:34.682900,8.984375,10.546875
31,301,251.72665,0.6266538,14.453125,1.3646116256713867,2023-12-07 21:45:36.377943,9.082031,10.546875
32,311,255.08391,0.6266538,14.6484375,1.2998337745666504,2023-12-07 21:45:38.023749,8.886719,11.035156
33,321,255.11948,0.6266538,14.6484375,1.286025047302246,2023-12-07 21:45:39.623129,8.886719,10.9375
34,331,256.71533,0.6266538,14.746094,1.3257966041564941,2023-12-07 21:45:41.309424,8.984375,11.035156
35,341,258.33868,0.6266538,14.84375,1.326181173324585,2023-12-07 21:45:42.990495,8.886719,11.1328125
36,351,259.72852,0.6266538,14.941406,1.3525810241699219,2023-12-07 21:45:44.706505,8.984375,11.035156
37,361,261.3556,0.6266538,15.0390625,1.2899971008300781,2023-12-07 21:45:46.353303,8.984375,11.328125
38,371,261.4329,0.6266538,15.0390625,1.2904293537139893,2023-12-07 21:45:47.956222,9.082031,11.328125
39,381,264.31134,0.6266538,15.234375,1.3649721145629883,2023-12-07 21:45:49.679146,9.1796875,11.425781
40,391,265.82953,0.6266538,15.332031,1.2944674491882324,2023-12-07 21:45:51.283336,9.277344,11.425781
41,401,267.41916,0.6266538,15.4296875,1.3594603538513184,2023-12-07 21:45:53.028872,9.375,11.425781
42,411,267.43713,0.6266538,15.4296875,1.2933924198150635,2023-12-07 21:45:54.636800,9.375,11.5234375
43,421,272.59235,0.6912639,15.722656,1.3859755992889404,2023-12-07 21:45:56.335816,9.765625,11.5234375
44,431,272.6403,0.6912639,15.722656,1.370499849319458,2023-12-07 21:45:58.076846,9.863281,11.816406
45,441,277.2782,0.6912639,16.015625,1.3341658115386963,2023-12-07 21:45:59.722426,10.058594,11.9140625
46,451,278.72266,0.6912639,16.113281,1.309211015701294,2023-12-07 21:46:01.350067,10.058594,11.816406
47,461,284.18665,0.6912639,16.40625,1.3082046508789062,2023-12-07 21:46:02.975525,10.3515625,11.9140625
48,471,285.83386,0.6912639,16.503906,1.328810453414917,2023-12-07 21:46:04.645391,10.3515625,11.9140625
49,481,288.94592,0.6912639,16.699219,1.3930249214172363,2023-12-07 21:46:06.353935,10.449219,12.207031
50,491,293.11008,0.6912639,16.992188,1.2826547622680664,2023-12-07 21:46:08.007093,10.839844,12.5
51,501,294.61874,0.6912639,17.089844,1.3310625553131104,2023-12-07 21:46:09.764689,10.839844,12.5
52,511,294.6562,0.6912639,17.089844,1.3454275131225586,2023-12-07 21:46:11.434404,10.839844,12.6953125
53,521,296.5594,0.6912639,17.1875,1.3110404014587402,2023-12-07 21:46:13.104518,10.839844,12.890625
54,531,297.86957,0.6912639,17.285156,1.3670871257781982,2023-12-07 21:46:14.801994,10.839844,12.890625
55,541,297.90417,0.6912639,17.285156,1.3064239025115967,2023-12-07 21:46:16.441622,10.7421875,12.890625
56,551,301.37653,0.6912639,17.480469,1.2645378112792969,2023-12-07 21:46:18.040972,11.1328125,12.988281
57,561,303.10083,0.6912639,17.578125,1.37713623046875,2023-12-07 21:46:19.742058,11.1328125,12.890625
