loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,193209.66,1085.4231,10.644531,50.584625482559204,2023-12-12 08:03:07.837091,9.863281,6.9335938
2,11,248385.45,1085.6902,13.0859375,31.944451808929443,2023-12-12 08:03:52.871092,11.425781,8.105469
3,21,287434.8,1146.8085,14.746094,32.0875186920166,2023-12-12 08:04:25.257658,12.597656,8.691406
4,31,309331.0,1146.8085,15.722656,32.17168974876404,2023-12-12 08:04:57.731822,14.2578125,9.082031
5,41,326443.38,1146.8085,16.503906,32.03340792655945,2023-12-12 08:05:30.058734,14.6484375,9.277344
6,51,342666.0,1146.8085,17.285156,31.86700677871704,2023-12-12 08:06:02.228477,15.0390625,9.765625
7,61,350012.06,1146.8085,17.578125,32.22831106185913,2023-12-12 08:06:34.756651,15.625,10.058594
8,71,364434.94,1209.6653,18.066406,31.817362308502197,2023-12-12 08:07:06.874619,15.917969,10.15625
9,81,383387.0,1209.6653,18.945312,31.768800735473633,2023-12-12 08:07:38.942400,16.992188,10.3515625
10,91,404576.47,1209.6653,19.824219,32.06944680213928,2023-12-12 08:08:11.309271,17.1875,10.058594
11,101,419338.8,1219.1182,20.410156,32.08828520774841,2023-12-12 08:08:43.695367,17.96875,10.253906
12,111,431734.25,1219.1182,20.898438,31.64497423171997,2023-12-12 08:09:15.638456,18.164062,11.230469
13,121,442828.5,1219.1182,21.386719,31.999948740005493,2023-12-12 08:09:47.933154,18.652344,11.816406
14,131,456103.8,1219.1182,22.070312,31.85153889656067,2023-12-12 08:10:20.087889,19.433594,12.011719
15,141,465834.66,1219.1182,22.460938,31.703004360198975,2023-12-12 08:10:52.090548,19.628906,12.011719
16,151,469588.8,1219.1182,22.558594,32.412273645401,2023-12-12 08:11:24.804795,19.628906,11.816406
17,161,481008.06,1219.1182,23.046875,31.931508779525757,2023-12-12 08:11:57.031507,19.824219,11.816406
18,171,495082.0,1219.1182,23.632812,32.24284362792969,2023-12-12 08:12:29.573064,20.507812,12.5
19,181,503587.22,1219.1182,24.023438,31.778698205947876,2023-12-12 08:13:01.648667,20.605469,13.0859375
20,191,510333.0,1219.1182,24.316406,32.20764756202698,2023-12-12 08:13:34.156075,20.800781,13.378906
21,201,515252.97,1219.1182,24.511719,31.872575759887695,2023-12-12 08:14:06.325749,21.191406,13.574219
22,211,526555.0,1219.1182,25.097656,32.17540454864502,2023-12-12 08:14:38.800527,21.582031,13.964844
23,221,534456.0,1219.1182,25.488281,31.934895038604736,2023-12-12 08:15:11.034084,21.777344,13.671875
24,231,538526.3,1231.1653,25.683594,31.836789846420288,2023-12-12 08:15:43.170476,21.972656,13.964844
25,241,544770.7,1231.1653,25.878906,32.08750033378601,2023-12-12 08:16:15.559573,21.972656,13.671875
26,251,546000.25,1231.1653,25.878906,32.044246196746826,2023-12-12 08:16:47.901851,21.582031,13.769531
27,261,549674.1,1231.1653,26.074219,31.88561511039734,2023-12-12 08:17:20.088292,21.582031,14.160156
28,271,555660.4,1231.1653,26.269531,31.939553260803223,2023-12-12 08:17:52.326511,21.972656,14.160156
29,281,559536.56,1231.1653,26.464844,31.818516969680786,2023-12-12 08:18:24.445993,21.972656,14.453125
30,291,569776.75,1231.1653,26.855469,32.17216420173645,2023-12-12 08:18:56.915621,22.363281,14.550781
31,301,580806.0,1231.1653,27.34375,32.4377326965332,2023-12-12 08:19:29.650377,22.949219,14.941406
32,311,585719.3,1515.384,27.441406,32.042216539382935,2023-12-12 08:20:01.991893,22.949219,15.0390625
33,321,588378.25,1515.384,27.539062,31.93648076057434,2023-12-12 08:20:34.229918,22.949219,14.941406
34,331,589360.75,1515.384,27.539062,32.099849224090576,2023-12-12 08:21:06.629430,23.046875,14.6484375
35,341,597323.25,1515.384,27.832031,32.187034606933594,2023-12-12 08:21:39.114917,23.242188,14.453125
36,351,602741.0,1515.384,28.125,31.885319709777832,2023-12-12 08:22:11.299975,23.242188,14.6484375
37,361,605935.5,1515.384,28.222656,32.16520881652832,2023-12-12 08:22:43.765735,23.4375,14.84375
38,371,615028.75,1515.384,28.710938,32.049155950546265,2023-12-12 08:23:16.128313,23.828125,14.84375
39,381,618431.4,1515.384,28.808594,31.960927486419678,2023-12-12 08:23:48.390984,23.730469,14.84375
40,391,621219.06,1515.384,28.90625,32.24710249900818,2023-12-12 08:24:20.936553,24.121094,14.550781
41,401,622408.5,1515.384,28.90625,32.11262607574463,2023-12-12 08:24:53.348227,24.121094,14.746094
42,411,625538.4,1515.384,29.003906,31.982402563095093,2023-12-12 08:25:25.629272,24.21875,14.550781
43,421,630750.5,1515.384,29.199219,32.07752513885498,2023-12-12 08:25:58.005882,24.414062,14.84375
44,431,633243.4,1515.384,29.296875,32.07479381561279,2023-12-12 08:26:30.377774,24.511719,14.746094
45,441,637956.56,1515.384,29.492188,32.073397397994995,2023-12-12 08:27:02.751151,24.707031,14.6484375
46,451,642487.06,1515.384,29.6875,32.10345149040222,2023-12-12 08:27:35.151869,25.0,14.550781
47,461,644484.7,1515.384,29.785156,31.881908416748047,2023-12-12 08:28:07.333751,25.097656,14.550781
48,471,647265.1,1515.384,29.882812,32.09174728393555,2023-12-12 08:28:39.724825,24.902344,14.6484375
49,481,651216.4,1515.384,30.078125,32.11583590507507,2023-12-12 08:29:12.145899,25.195312,14.84375
50,491,651401.4,1515.384,30.078125,32.11169457435608,2023-12-12 08:29:44.556259,25.195312,14.84375
51,501,654601.06,1515.384,30.175781,31.601845741271973,2023-12-12 08:30:16.458261,25.097656,14.6484375
52,511,655968.5,1515.384,30.175781,32.14780807495117,2023-12-12 08:30:48.911575,25.195312,14.550781
53,521,659572.2,1515.384,30.371094,32.14396071434021,2023-12-12 08:31:21.352615,25.292969,14.550781
54,531,668996.5,1515.384,30.761719,32.14031648635864,2023-12-12 08:31:53.791804,25.097656,14.6484375
