loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,434926.78,399.5348,43.066406,44.93036603927612,2023-12-15 03:50:42.380029
2,11,642532.75,589.8131,61.328125,17.067846059799194,2023-12-15 03:50:59.759494
3,21,764212.06,957.8256,70.99609,17.00995922088623,2023-12-15 03:51:17.124860
4,31,847321.0,957.8256,77.05078,16.73058009147644,2023-12-15 03:51:34.162792
5,41,913345.5,1015.15283,81.54297,16.26257348060608,2023-12-15 03:51:50.719405
6,51,945146.9,1015.15283,83.30078,16.268590211868286,2023-12-15 03:52:07.285918
7,61,984442.5,1015.15283,85.64453,16.34814190864563,2023-12-15 03:52:23.931484
8,71,1006791.1,1038.9502,86.71875,16.361208200454712,2023-12-15 03:52:40.595992
9,81,1021111.75,1038.9502,87.20703,16.47986340522766,2023-12-15 03:52:57.385654
10,91,1032228.75,1038.9502,87.5,16.496357679367065,2023-12-15 03:53:14.184990
11,101,1042565.44,1098.4623,87.79297,16.692407369613647,2023-12-15 03:53:31.179537
12,111,1051534.4,1098.4839,88.18359,16.451689958572388,2023-12-15 03:53:47.931353
13,121,1055362.4,1098.4839,88.18359,16.55642867088318,2023-12-15 03:54:04.787758
14,131,1063288.4,1098.4839,88.47656,16.30176877975464,2023-12-15 03:54:21.388848
15,141,1069213.5,1098.4839,88.671875,16.29899263381958,2023-12-15 03:54:37.990134
16,151,1073012.1,1110.8516,88.76953,16.474735975265503,2023-12-15 03:54:54.762310
17,161,1079267.1,1110.8516,88.96484,16.377248525619507,2023-12-15 03:55:11.438224
18,171,1083806.0,1110.8516,89.0625,16.293402194976807,2023-12-15 03:55:28.034045
19,181,1087381.2,1110.8516,89.16016,16.56705331802368,2023-12-15 03:55:44.909641
20,191,1091802.0,1110.8516,89.35547,16.494673490524292,2023-12-15 03:56:01.728969
21,201,1094272.9,1110.8516,89.35547,16.387288808822632,2023-12-15 03:56:18.420488
22,211,1097100.9,1110.8516,89.453125,16.43141007423401,2023-12-15 03:56:35.159356
23,221,1101191.8,1110.8516,89.64844,16.302523374557495,2023-12-15 03:56:51.764748
24,231,1103172.6,1110.8516,89.64844,16.28911328315735,2023-12-15 03:57:08.358167
