loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,18288.541,-85.61267,22.363281,9.546438694000244,2023-12-14 19:48:06.852316
2,11,28694.764,-82.98901,33.789062,0.22472882270812988,2023-12-14 19:48:24.710671
3,21,37302.266,-82.76767,40.91797,0.1841602325439453,2023-12-14 19:48:25.263437
4,31,43487.184,-80.793434,45.01953,0.18638086318969727,2023-12-14 19:48:25.818977
5,41,47577.883,-78.00331,47.558594,0.17791461944580078,2023-12-14 19:48:26.451607
6,51,50565.645,-76.31525,49.21875,0.20175743103027344,2023-12-14 19:48:27.020358
7,61,53221.15,-75.153755,50.683594,0.20410919189453125,2023-12-14 19:48:27.586879
8,71,56278.008,-75.153755,52.441406,0.1723644733428955,2023-12-14 19:48:28.134366
9,81,59178.234,-72.8918,54.19922,0.15875601768493652,2023-12-14 19:48:28.700790
10,91,61500.56,-72.8918,55.566406,0.1915750503540039,2023-12-14 19:48:29.302807
11,101,63501.656,-72.8918,56.73828,0.17896437644958496,2023-12-14 19:48:29.848333
12,111,66085.8,-72.8918,58.30078,0.18466591835021973,2023-12-14 19:48:30.401725
13,121,67638.305,-72.8918,59.179688,0.21217083930969238,2023-12-14 19:48:30.982348
14,131,69138.22,-72.8918,59.960938,0.18721652030944824,2023-12-14 19:48:31.604384
15,141,70009.89,-71.90084,60.351562,0.1861717700958252,2023-12-14 19:48:32.181759
16,151,71602.0,-69.3269,61.23047,0.18272995948791504,2023-12-14 19:48:32.739913
17,161,72443.875,-69.3269,61.621094,0.1684739589691162,2023-12-14 19:48:33.301005
18,171,73480.086,-69.3269,62.109375,0.1689746379852295,2023-12-14 19:48:33.855301
19,181,74325.53,-69.3269,62.5,0.20697951316833496,2023-12-14 19:48:34.440306
20,191,75221.016,-69.3269,62.890625,0.17973637580871582,2023-12-14 19:48:35.052097
21,201,76039.73,-69.3269,63.28125,0.16133999824523926,2023-12-14 19:48:35.627860
22,211,77473.8,-69.3269,64.0625,0.17841768264770508,2023-12-14 19:48:36.183829
23,221,78446.08,-68.86333,64.55078,0.19035840034484863,2023-12-14 19:48:36.801327
24,231,79300.93,-68.84946,64.94141,0.16324138641357422,2023-12-14 19:48:37.358122
25,241,80003.266,-68.84946,65.234375,0.18067121505737305,2023-12-14 19:48:37.923333
26,251,80971.836,-68.84946,65.72266,0.18012118339538574,2023-12-14 19:48:38.488717
27,261,81676.82,-68.84946,66.015625,0.14882826805114746,2023-12-14 19:48:39.025541
28,271,82485.23,-68.84946,66.40625,0.18400120735168457,2023-12-14 19:48:39.665431
29,281,82991.82,-68.70104,66.60156,0.19555425643920898,2023-12-14 19:48:40.251694
30,291,83741.27,-68.70104,66.99219,0.16879487037658691,2023-12-14 19:48:40.805570
31,301,84164.016,-68.235535,67.1875,0.19768261909484863,2023-12-14 19:48:41.405102
32,311,84614.42,-68.235535,67.38281,0.19405531883239746,2023-12-14 19:48:41.999288
33,321,85151.54,-68.19121,67.67578,0.17289018630981445,2023-12-14 19:48:42.637242
34,331,85460.734,-68.19121,67.77344,0.17991900444030762,2023-12-14 19:48:43.207338
35,341,85588.125,-68.19121,67.77344,0.16218948364257812,2023-12-14 19:48:43.784802
36,351,86098.31,-68.19121,68.06641,0.18502402305603027,2023-12-14 19:48:44.347435
37,361,86477.555,-68.19121,68.26172,0.18381690979003906,2023-12-14 19:48:44.922807
38,371,86587.72,-68.19121,68.26172,0.1876063346862793,2023-12-14 19:48:45.512776
39,381,86811.04,-68.19121,68.359375,0.17786908149719238,2023-12-14 19:48:46.067382
40,391,86909.75,-68.19121,68.359375,0.20046281814575195,2023-12-14 19:48:46.654081
41,401,86999.63,-68.19121,68.359375,0.16092872619628906,2023-12-14 19:48:47.251352
42,411,87237.51,-68.19121,68.45703,0.1862351894378662,2023-12-14 19:48:47.828219
43,421,87359.18,-68.19121,68.45703,0.19122552871704102,2023-12-14 19:48:48.435038
44,431,87858.266,-67.99843,68.75,0.18581175804138184,2023-12-14 19:48:49.032670
45,441,88093.39,-67.99843,68.84766,0.20124411582946777,2023-12-14 19:48:49.625928
46,451,88437.375,-67.99843,69.04297,0.21333098411560059,2023-12-14 19:48:50.226689
47,461,88657.6,-67.99843,69.140625,0.1611483097076416,2023-12-14 19:48:50.865146
48,471,89156.21,-67.99843,69.43359,0.19520330429077148,2023-12-14 19:48:51.438370
49,481,89655.805,-67.99843,69.72656,0.18126749992370605,2023-12-14 19:48:52.074560
50,491,90134.02,-67.99843,70.01953,0.17003345489501953,2023-12-14 19:48:52.623650
51,501,90229.69,-67.99843,70.01953,0.18581795692443848,2023-12-14 19:48:53.188150
52,511,90303.164,-67.86498,70.01953,0.19143128395080566,2023-12-14 19:48:53.815611
53,521,90647.06,-67.86498,70.21484,0.20584511756896973,2023-12-14 19:48:54.379915
54,531,91001.98,-67.86498,70.41016,0.1936955451965332,2023-12-14 19:48:54.979526
55,541,91384.78,-67.7946,70.60547,0.18721723556518555,2023-12-14 19:48:55.549058
56,551,91486.91,-67.7946,70.60547,0.18634581565856934,2023-12-14 19:48:56.129988
57,561,91690.68,-67.7946,70.703125,0.18586015701293945,2023-12-14 19:48:56.702054
58,571,91767.984,-67.7946,70.703125,0.19342875480651855,2023-12-14 19:48:57.312541
